name,open or closed,Close Date,Prison Since,Current Population,Town,Incorporation/Establishment,Historical Population (1870),Population at Prison Opening,Population at Prison Closing/Current,Historic Industry,% Below Poverty Line,"Manufacturing, Mining, Agriculture, Shipping, Tourism",Current percentage,Latitude,Longitiude,
Taconic Correctional Facility,open,,1973,167,Bedford Hills,1847,3697,3486,17906,"Dairy Farming, Agriculture",7.5,Agriculture,0,-73.7009,41.23622,
Auburn Correctional Facility,open,,1971,1282,Cayuga,1857,435,693,519,"Feed, Dairy, Poultry",3.1,Manufacturing,13.3,-76.7263,42.91896,
Adirondack Correctional Facility,open,,1971,89,North Elba,1849,349,5776,8463,Agriculture,10.9,Agriculture,5.4,-74.019722,44.288333,
Elmira Correctional Facility,open,,1970,1071,Elmira,1864,15863,39945,27054,Manufacturing,23.1,Manufacturing,14.5,-76.8077,42.0898,
Sing Sing Correctional Facility,open,,1970,1479,Ossining,1813,7798,32397,37674,"Shipping Farm Goods, Manufacturing",8.4,Shipping,5,-73.8615,41.16287,
Camp Georgetown,closed,10/2011,1961,,Georgetown,1815,1423,633,974,"Saw Mill, Stave Mill, Tannery",11.4,Manufacturing,Unknown,-75.7366,42.7684,
Summit Shock Incarceration Correctional,closed,10/2011,1960,,Summit,1819,"1,631",704,"1,148","Tourism, Hotels",15.9,Tourism,Unknown,-74.5882,42.57952,
Great Meadow Correctional Facility,open,,1954,1349,Fort Ann,1820,3320,3122,6110,"Manufacturing, Mills, Tanneries",6.7,Manufacturing,8.4,-73.4876,43.41424,
Green Haven Correctional Facility,open,,1949,1600,Beekman,1788,1486,1703,14385,Mining,4.7,Mining,Unknown,-73.7129,41.61093,
Coxsackie Correctional Facility,open,,1935,782,Coxsackie,1788,3829,4146,8321,Shipping Farm Goods & Ice,12.9,Shipping,5,-73.8029,42.35092,
Woodbourne Correctional Facility,open,,1933,783,Fallsburg,1830,3206,4716,12845,Tanning,26.8,Manufacturing,19.1,-74.6022,41.73136,
Wallkill Correctional Facility,open,,1933,307,Wallkill,1848,9477,3835,28176,Trade,5,Trade,3.8,-74.184,41.60565,
Beacon Correctional,closed,09/2013,1932,,Beacon,1913,10996,11933,15541,"Brick and Hat Factories, Film",9.1,Manufacturing,6.4,-73.9696,41.50482,
Attica Correctional Facility,open,,1931,1840,Attica,1811,2546,2891,7448,"Farming, Agriculture",6.3,Agriculture,2.7,-78.2803,42.86423,
Bedford Hills Correctional Facility,open,,1901,496,Bedford,1847,3697,3486,17906,"Dairy Farming, Agriculture",7.5,Agriculture,0,-73.7009,41.23622,
Clinton Annex at Clinton Correctional,closed,03/31/2021,1899,,Dannemora,1901,"1,512",3720,4565,"Mining, Smelting",14.2,Mining,3,-73.7238,44.72143,
Albion Correctional Facility,open,,1894,613,Albion,1875,2359,2172,8138,Lumber,16.9,Manufacturing,5.6,-78.1936,43.24645,
Clinton Correctional Facility,open,,1844,2248,Dannemora,1901,"1,512",1271,4565,"Mining, Smelting",14.2,Mining,3,-73.7238,44.72143,
Watertown Correctional,closed,03/31/2021,1981,,Watertown,1869,9336,Unknown,24685,Manufacturing,19.3,Manufacturing,6.5,-75.9108,43.97478,
Butler Correctional,closed,07/26/2014,Unknown,,Red Creek,1852,525,Unknown,532,"Fruit Growing, Canning, Mills",12.6,Agriculture,10,-76.7236,43.24729,
Butler ASACT Catchment Facility,closed,01/2011,Unknown,,Red Creek,1852,525,Unknown,532,"Fruit Growing, Canning, Mills",12.6,Agriculture,10,-76.7236,43.24729,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
